id_fecha;Pauta;Fecha;Flag_timing;dia_laboral;nro_registros;nro_registros_condni;nro_aprobados;nro_pre_aprobado;nro_sin_campaña;gestionado;contactado;derivacion_Ope;desembolso_m_tlmk;desembolso_m_tlmk_neto;desembolso_n_tlmk;desembolso_n_total;desembolso_m_neto_total;desembolso_n_eds;desembolso_m_neto_eds
250331;9.Otros;2025-03-01;1;1.0;61;25;3;3;19;4;4;2;0;0.0;0;0;0.0;0;0.0
250331;9.Otros;2025-03-12;0;10.0;138;69;14;24;31;34;28;19;16600;16434.8;8;8;16434.8;0;0.0
250331;9.Otros;2025-03-22;0;19.0;171;59;1;5;53;3;3;2;3000;3000.0;1;1;3000.0;0;0.0
250331;9.Otros;2025-03-27;0;23.0;74;38;5;6;27;10;5;2;1500;1500.0;1;2;3000.0;1;1500.0
250131;1.Aprobado;2025-01-28;0;23.0;17;15;4;0;11;4;4;1;2700;2700.0;1;2;5700.0;1;3000.0
250131;5.Otro_add;2025-01-20;0;16.0;224;196;0;8;188;0;0;0;0;0.0;0;0;0.0;0;0.0
250131;6.Ahorros;2025-01-04;0;3.0;14;2;0;0;2;0;0;0;0;0.0;0;0;0.0;0;0.0
250131;6.Ahorros;2025-01-09;0;7.0;30;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0.0
250131;9.Otros;2025-01-15;0;12.0;159;7;0;1;6;0;0;0;0;0.0;0;0;0.0;0;0.0
250228;1.Aprobado;2025-02-07;0;6.0;70;59;1;3;55;2;1;1;0;0.0;0;0;0.0;0;0.0
250228;2.Escolar;2025-02-17;0;14.0;127;108;0;3;105;1;1;0;0;0.0;0;0;0.0;0;0.0
250228;3.Camp_act;2025-02-12;0;10.0;50;39;0;1;38;1;1;0;0;0.0;0;0;0.0;0;0.0
250228;4.Camp_QR;2025-02-14;0;12.0;117;111;8;25;78;5;1;0;0;0.0;0;0;0.0;0;0.0
250331;1.Aprobado;2025-03-18;0;15.0;22;17;0;3;14;1;1;1;0;0.0;0;0;0.0;0;0.0
250331;2.Escolar;2025-03-17;0;14.0;79;70;1;4;65;3;2;1;0;0.0;0;0;0.0;0;0.0
250331;4.Camp_QR;2025-03-05;0;4.0;6;5;0;0;5;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;4.Camp_QR;2025-03-12;0;10.0;5;5;0;1;4;2;2;2;0;0.0;0;0;0.0;0;0.0
250331;8.FB;2025-03-07;0;6.0;1;1;0;0;1;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;9.Otros;2025-03-06;0;5.0;466;249;38;51;160;192;176;118;146089;144816.31;71;90;198053.83;19;53237.52
250331;9.Otros;2025-03-28;0;24.0;236;192;4;17;171;8;5;2;1500;1500.0;1;1;1500.0;0;0.0
250430;1.Aprobado;2025-04-01;1;1.0;1;1;0;0;1;0;0;0;0;0.0;0;0;0.0;0;0.0
250131;1.Aprobado;2025-01-20;0;16.0;37;31;3;1;27;3;3;2;0;0.0;0;0;0.0;0;0.0
250131;5.Otro_add;2025-01-26;0;0.0;108;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0.0
250131;5.Otro_add;2025-01-27;0;22.0;173;150;2;6;142;0;0;0;0;0.0;0;0;0.0;0;0.0
250131;6.Ahorros;2025-01-21;0;17.0;64;10;0;0;11;0;0;0;0;0.0;0;0;0.0;0;0.0
250131;8.FB;2025-01-10;0;8.0;1;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0.0
